"We can't find the quote item.","We can't find the quote item."
"%1 was removed in your shopping cart.","%1 was removed in your shopping cart."
"%1 was updated in your shopping cart.","%1 was updated in your shopping cart."
label,label
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"Customer Delivery Date:","Customer Delivery Date:"
"Customer Delivery Comment:","Customer Delivery Comment:"
"Area Removed","Area Removed"
"Is Required?","Is Required?"
"Area Sorting","Area Sorting"
"Please select","Please select"
"Newest posts first","Newest posts first"
"Oldest posts first","Oldest posts first"
1,1
2,2
3,3
4,4
5,5
6,6
"2 columns","2 columns"
"3 columns","3 columns"
"4 columns","4 columns"
"5 columns","5 columns"
"6 columns","6 columns"
"7 columns","7 columns"
"8 columns","8 columns"
"9 columns","9 columns"
"10 columns","10 columns"
"11 columns","11 columns"
"12 columns","12 columns"
7,7
8,8
9,9
10,10
11,11
12,12
Zoom,Zoom
"Zoom Overlay","Zoom Overlay"
"Box Effect","Box Effect"
Overlay,Overlay
"Style 1 - Default","Style 1 - Default"
"Style 2","Style 2"
"Style 3","Style 3"
Quickview,Quickview
"Popup Boxes","Popup Boxes"
0px,0px
10px,10px
20px,20px
30px,30px
40px,40px
"Best Seller","Best Seller"
Featured,Featured
"Most Viewed","Most Viewed"
"New Arrival","New Arrival"
"Top Rate","Top Rate"
"On Sale","On Sale"
Trending,Trending
Random,Random
"Photo Swipe","Photo Swipe"
"Open Link","Open Link"
Grid,Grid
Packery,Packery
Carousel,Carousel
Square,Square
Circle,Circle
"Store URL","Store URL"
By,By
on,on
"Read More","Read More"
"No blog posts were found matching your condition.","No blog posts were found matching your condition."
share,share
Facebook,Facebook
Twitter,Twitter
Pinterest,Pinterest
Google,Google
"Get Only","Get Only"
"Collect Product Data BestSeller Successfully.","Collect Product Data BestSeller Successfully."
"Collect Product Data MostViewed Successfully.","Collect Product Data MostViewed Successfully."
"Collect Product Data TopRate Successfully.","Collect Product Data TopRate Successfully."
Dots,Dots
Thumbs,Thumbs
Append,Append
After,After
Before,Before
Left,Left
Right,Right
Bottom,Bottom
"Categories: ","Categories: "
"Export Blocks","Export Blocks"
"Export Pages","Export Pages"
"Import Block","Import Block"
"Import Page","Import Page"
"Close (Esc)","Close (Esc)"
Share,Share
"Toggle fullscreen","Toggle fullscreen"
"Zoom in/out","Zoom in/out"
"Previous (arrow left)","Previous (arrow left)"
"Next (arrow right)","Next (arrow right)"
List,List
Defaut,Defaut
Canvas,Canvas
"Search Results:","Search Results:"
"Search Result:","Search Result:"
"Need some inspiration?","Need some inspiration?"
Search,Search
products,products
"Search Our Site","Search Our Site"
"All Categories","All Categories"
"Search product","Search product"
"Clear Field","Clear Field"
Account,Account
Wishlist,Wishlist
Cart,Cart
"Quick search:","Quick search:"
Dark,Dark
Light,Light
"Add a lable","Add a lable"
"Delete Product","Delete Product"
Lookbook,Lookbook
"Add Lookbook","Add Lookbook"
ID,ID
Name,Name
"Title Link","Title Link"
"Button Style","Button Style"
Images,Images
Action,Action
"This Lookbook no longer exists.","This Lookbook no longer exists."
"Deleted Success.","Deleted Success."
"Delete was not found.","Delete was not found."
"Manage Lookbook","Manage Lookbook"
"Labels has been deleted.","Labels has been deleted."
"Edit success.","Edit success."
"Add success.","Add success."
"Something went wrong while saving the.","Something went wrong while saving the."
Root,Root
"' . 'name","' . 'name"
General,General
Image,Image
"Change Image","Change Image"
"Select Image","Select Image"
"Add Product","Add Product"
"Search Product","Search Product"
"View Detail","View Detail"
"No Lookbook items were found matching your condition. You can add items in ""Blueskytechco > LookBook > Manage Items"".","No Lookbook items were found matching your condition. You can add items in ""Blueskytechco > LookBook > Manage Items""."
"Are you sure you want to do this?","Are you sure you want to do this?"
"All Store Views","All Store Views"
"Save Size Chart","Save Size Chart"
"Edit Size Chart '%1'","Edit Size Chart '%1'"
"New Size Chart","New Size Chart"
"Store View","Store View"
Display,Display
"Tab Content","Tab Content"
"Popup Content","Popup Content"
"Edit Content","Edit Content"
Main,Main
"Use Attribute","Use Attribute"
Attribute,Attribute
Information,Information
Success,Success
"Edit Size Chart","Edit Size Chart"
"Size Chart","Size Chart"
"Size Guide","Size Guide"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The size chart has been saved.","The size chart has been saved."
"Something went wrong while saving the size chart.","Something went wrong while saving the size chart."
"Unable to remove store %1","Unable to remove store %1"
"Size guide","Size guide"
"Save Store","Save Store"
"Delete Store","Delete Store"
"Edit Store '%1'","Edit Store '%1'"
"Add Store","Add Store"
Informations,Informations
Description,Description
Status,Status
Address,Address
City,City
"Zip Code","Zip Code"
Country,Country
E-mail,E-mail
"Phone Number","Phone Number"
Fax,Fax
Website,Website
"Store Image","Store Image"
"Localization informations","Localization informations"
Latitude,Latitude
Longitude,Longitude
"Store Location","Store Location"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
"Store Edit","Store Edit"
"General Informations","General Informations"
"Work Time","Work Time"
"Location Map","Location Map"
Closed,Closed
Open,Open
"Open Time","Open Time"
"Closed Time","Closed Time"
"Google Api Key is not set! Go to Stores -> Configuration -> Blueskytechco Extensions -> Store Locator to change extension settings.","Google Api Key is not set! Go to Stores -> Configuration -> Blueskytechco Extensions -> Store Locator to change extension settings."
"The store has been deleted.","The store has been deleted."
"We can't find a store to delete.","We can't find a store to delete."
"This store no longer exists.","This store no longer exists."
"Edit Store","Edit Store"
"Add New Store","Add New Store"
"Storelocator Stores","Storelocator Stores"
"Store Locator - Stores","Store Locator - Stores"
"A total of %1 store(s) have been deleted.","A total of %1 store(s) have been deleted."
"A total of %1 store(s) have been disabled.","A total of %1 store(s) have been disabled."
"A total of %1 store(s) have been enabled.","A total of %1 store(s) have been enabled."
"The store has been saved.","The store has been saved."
"Something went wrong while saving the store.","Something went wrong while saving the store."
Zip,Zip
"Opening Hours:","Opening Hours:"
"Store Locator","Store Locator"
"--Please Select--","--Please Select--"
Enabled,Enabled
Disabled,Disabled
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" store?","Are you sure you wan't to delete a ""${ $.$data.title }"" store?"
Phone,Phone
Email,Email
"Get Directions","Get Directions"
"Enter a location","Enter a location"
Testimonial,Testimonial
"Add New Testimonial","Add New Testimonial"
"Save Testimonial","Save Testimonial"
"Close Window","Close Window"
"Save and Close","Save and Close"
"Testimonial Information","Testimonial Information"
Author,Author
Avatar,Avatar
Quote,Quote
Job,Job
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
Order,Order
"Edit Testimonial '%1'","Edit Testimonial '%1'"
"New Testimonial","New Testimonial"
"General Information","General Information"
"Testimonial ID","Testimonial ID"
Rating,Rating
"Are you sure?","Are you sure?"
"Delete successfully !","Delete successfully !"
"This Testimonial no longer exists.","This Testimonial no longer exists."
"Please select testimonial(s).","Please select testimonial(s)."
"The Testimonial menu has been saved.","The Testimonial menu has been saved."
"Something went wrong while saving the testimonial.","Something went wrong while saving the testimonial."
Type,Type
Identifier,Identifier
"Add Tab","Add Tab"
"Live Preview","Live Preview"
Activate,Activate
"Active: ","Active: "
"Can not get the data file.","Can not get the data file."
"Reset Now","Reset Now"
"Elements Blocks Exported.","Elements Blocks Exported."
"Configuration Exported.","Configuration Exported."
"Elements Pages Exported.","Elements Pages Exported."
"Elements Template Exported.","Elements Template Exported."
"Lookbook Exported.","Lookbook Exported."
"Fetch Google Fonts via API Successfully.","Fetch Google Fonts via API Successfully."
" minutes ago"," minutes ago"
view,view
NEW,NEW
SALE,SALE
"Grid 3 Columns","Grid 3 Columns"
"Grid 4 Columns","Grid 4 Columns"
"Grid with Sidebar","Grid with Sidebar"
"Blog List","Blog List"
"6 Columns","6 Columns"
"7 Columns","7 Columns"
"8 Columns","8 Columns"
"9 Columns","9 Columns"
"10 Columns","10 Columns"
"11 Columns","11 Columns"
"12 Columns","12 Columns"
"Select Blocks","Select Blocks"
"Tabs Default","Tabs Default"
"Tabs Accordions","Tabs Accordions"
"Tabs Accordions 2","Tabs Accordions 2"
"Product Default Thumbnails","Product Default Thumbnails"
"Product Bottom Thumbnails","Product Bottom Thumbnails"
"Product Right Thumbnails","Product Right Thumbnails"
"Product Without Thumbnails","Product Without Thumbnails"
"Load More Button","Load More Button"
"Infinit scrolling","Infinit scrolling"
"Custom Fonts","Custom Fonts"
"Google Fonts","Google Fonts"
Default,Default
"--- Select ---","--- Select ---"
8px,8px
9px,9px
11px,11px
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
17px,17px
18px,18px
19px,19px
21px,21px
22px,22px
23px,23px
24px,24px
25px,25px
26px,26px
300,300
400,400
500,500
600,600
700,700
800,800
900,900
"Layout 1 - Default","Layout 1 - Default"
"Layout 2","Layout 2"
"Layout 3","Layout 3"
"Layout 4","Layout 4"
"Layout 5","Layout 5"
"Layout 6","Layout 6"
"Layout 6 ","Layout 6 "
"Layout 7 ","Layout 7 "
"Layout 8 ","Layout 8 "
"Layout 9 ","Layout 9 "
"Layout 10 ","Layout 10 "
"Layout 11 ","Layout 11 "
"Layout 12 ","Layout 12 "
"Layout 7","Layout 7"
"Layout 8","Layout 8"
"Layout 9","Layout 9"
"Layout 10","Layout 10"
"Layout 11","Layout 11"
"Layout 12","Layout 12"
1200px,1200px
1170px,1170px
1370px,1370px
1440px,1440px
1920px,1920px
"Box Layout","Box Layout"
"Product Base Image","Product Base Image"
"Product Small Image","Product Small Image"
"Product Thumbnail Image","Product Thumbnail Image"
No,No
"Enable on Homepage","Enable on Homepage"
"Enable on All Pages","Enable on All Pages"
"Default Layout","Default Layout"
"Grid Layout","Grid Layout"
"Masonry Layout","Masonry Layout"
"Full Width Layout","Full Width Layout"
"Packery Layout","Packery Layout"
"Filter Canvas","Filter Canvas"
"Product Detail Default","Product Detail Default"
"Product Detail Layout 1","Product Detail Layout 1"
"Product Detail Layout 2","Product Detail Layout 2"
"Product Detail Layout 3","Product Detail Layout 3"
"Product Detail Layout 4","Product Detail Layout 4"
"Style 4","Style 4"
Enable,Enable
Disable,Disable
Custom,Custom
1:1,1:1
"Inner Zoom #1","Inner Zoom #1"
"External Zoom","External Zoom"
"Inner Zoom #2","Inner Zoom #2"
"Theme successfully activated using manual activation. Thanks for buying our theme.","Theme successfully activated using manual activation. Thanks for buying our theme."
msg,msg
"You are using localhost, so do not need use purchase code.","You are using localhost, so do not need use purchase code."
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
"Do not show it anymore.","Do not show it anymore."
%1,%1
"Add New Category","Add New Category"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"All Authors","All Authors"
"Start Import","Start Import"
NOTICE,NOTICE
"Database Name","Database Name"
"User Name","User Name"
Password,Password
"Database Host","Database Host"
"Table Prefix","Table Prefix"
Post,Post
"Add New Post","Add New Post"
"Import Posts","Import Posts"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Add New Images","Add New Images"
"Please select post IDs","Please select post IDs"
"Post Id","Post Id"
Tag,Tag
"Add New Tag","Add New Tag"
"Import Tags","Import Tags"
"Select Post IDs ...","Select Post IDs ..."
"Not Selected","Not Selected"
"Monthly Archives: %s %s","Monthly Archives: %s %s"
Home,Home
"Go to Home Page","Go to Home Page"
Page,Page
"Search ""%1""","Search ""%1"""
"Blog import type is not specified.","Blog import type is not specified."
"Blog Import from %1 Blog","Blog Import from %1 Blog"
"Something went wrong: ","Something went wrong: "
"Blog Import","Blog Import"
"The import process was completed successfully. 
                        %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported.","The import process was completed successfully. 
                        %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported."
"The import process completed. %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported. 
                        Some posts or categories or tags or comments where skipped. %5 %6 %7 %8 %9","The import process completed. %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported. 
                        Some posts or categories or tags or comments where skipped. %5 %6 %7 %8 %9"
"Nothing to import.","Nothing to import."
"Can not make import.","Can not make import."
"Something went wrong %1","Something went wrong %1"
"Please enter your name and email","Please enter your name and email"
"Login to submit comment","Login to submit comment"
"You cannot post comment. Blog post is not longer exist.","You cannot post comment. Blog post is not longer exist."
"You cannot reply to this comment. Comment is not longer exist.","You cannot reply to this comment. Comment is not longer exist."
"You cannot reply to this comment.","You cannot reply to this comment."
"You submitted your comment for moderation.","You submitted your comment for moderation."
"Thank you for your comment.","Thank you for your comment."
"Database connection error","Database connection error"
"Unable to save item","Unable to save item"
"Requested item doesn't exist","Requested item doesn't exist"
"Unable to remove item","Unable to remove item"
Duplicated,Duplicated
"Comment text is too short.","Comment text is too short."
"Some blog comments are pending for approval. <a href=""%1"">Manage Comments</a>.","Some blog comments are pending for approval. <a href=""%1"">Manage Comments</a>."
Guest,Guest
Customer,Customer
Admin,Admin
"All Blog Pages","All Blog Pages"
"Blog Index Page","Blog Index Page"
"Blog Post Page","Blog Post Page"
"Blog Category Page","Blog Category Page"
"Blog Author Page","Blog Author Page"
"Blog Archive Page","Blog Archive Page"
"Blog Tag Page","Blog Tag Page"
"Posts (default)","Posts (default)"
"Posts Links","Posts Links"
"Subcategories Links","Subcategories Links"
"Posts & Subcategories Links","Posts & Subcategories Links"
Pending,Pending
Approved,Approved
"Not Approved","Not Approved"
"Use Magefan Blog Comments","Use Magefan Blog Comments"
"Use Facebook Comments","Use Facebook Comments"
"Use Disqus Comments","Use Disqus Comments"
"Recent Blog Posts","Recent Blog Posts"
"Featured Blog Posts","Featured Blog Posts"
"Blank (Use widgets to build the page content)","Blank (Use widgets to build the page content)"
"Yes (With auto trigger)","Yes (With auto trigger)"
"Yes (Without auto trigger)","Yes (Without auto trigger)"
"Default: mystore.com/{blog_route}/{post_route}/post-title/","Default: mystore.com/{blog_route}/{post_route}/post-title/"
"Short: mystore.com/{blog_route}/post-title/","Short: mystore.com/{blog_route}/post-title/"
"Publish Date (default)","Publish Date (default)"
Position,Position
"Parameter %1 is required","Parameter %1 is required"
"AheadWorks Blog Extension not detected.","AheadWorks Blog Extension not detected."
"Mageplaza Blog Extension not detected.","Mageplaza Blog Extension not detected."
"Unable to determine blog entity ID.","Unable to determine blog entity ID."
"'Unable to load blog attribute %1.' .","'Unable to load blog attribute %1.' ."
"Mirasvit Blog Extension not detected.","Mirasvit Blog Extension not detected."
"The category URL key contains disallowed symbols.","The category URL key contains disallowed symbols."
"The category URL key cannot be made of only numbers.","The category URL key cannot be made of only numbers."
"URL key is already in use by another blog item.","URL key is already in use by another blog item."
"The post URL key contains disallowed symbols.","The post URL key contains disallowed symbols."
"The post URL key cannot be made of only numbers.","The post URL key cannot be made of only numbers."
"The tag is already exist.","The tag is already exist."
"The tag URL key contains disallowed symbols.","The tag URL key contains disallowed symbols."
"The tag URL key cannot be made of only numbers.","The tag URL key cannot be made of only numbers."
"Magefan Blog is disabled, to enable the extension please navigate to
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Magefan Blog is disabled, to enable the extension please navigate to
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>."
"Magefan Blog <strong>Product Key</strong> is missing.
                        Blog Extension will be automatically disabled soon. Please specify the product key in
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Magefan Blog <strong>Product Key</strong> is missing.
                        Blog Extension will be automatically disabled soon. Please specify the product key in
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>."
"Possible conflict. If you have problems with the module Magefan Blog, try to disable the following modules: %1. To disable module please run following command in the Magento root directory: bin/magento module:disable Vendor_ModuleName","Possible conflict. If you have problems with the module Magefan Blog, try to disable the following modules: %1. To disable module please run following command in the Magento root directory: bin/magento module:disable Vendor_ModuleName"
"Leave a review about the blog extension","Leave a review about the blog extension"
"Nead a new blog feature?","Nead a new blog feature?"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
Hidden,Hidden
"Your Blog Extension is out of date. You can update it to the <strong>version %1</strong>
                     via composer or you can download the new version archive from the 
                     <a href=""%2"" target=""_blank"">Magefan Store</a>.
                     Please <a href=""%3""   target=""_blank"">contact</a> 
                     Magefan Team if you have any questions or need help with an update.","Your Blog Extension is out of date. You can update it to the <strong>version %1</strong>
                     via composer or you can download the new version archive from the 
                     <a href=""%2"" target=""_blank"">Magefan Store</a>.
                     Please <a href=""%3""   target=""_blank"">contact</a> 
                     Magefan Team if you have any questions or need help with an update."
Posted:,Posted:
Categories:,Categories:
Comments:,Comments:
Tags:,Tags:
Author:,Author:
Views:,Views:
"We can't find posts matching the selection.","We can't find posts matching the selection."
"Read more &#187;","Read more &#187;"
"See more","See more"
"Posts loader","Posts loader"
Tags,Tags
"%1 Comment(s)","%1 Comment(s)"
"Add a comment...","Add a comment..."
"Sign in to add a comment...","Sign in to add a comment..."
"Full Name","Full Name"
"Sign In","Sign In"
"Load more comments","Load more comments"
"Add a reply...","Add a reply..."
Reply,Reply
"Show more replies in this thread","Show more replies in this thread"
"privacy policy","privacy policy"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"Read %1","Read %1"
Next,Next
"&larr; Previous","&larr; Previous"
"Next &rarr;","Next &rarr;"
"Related Posts","Related Posts"
"Related Products","Related Products"
Archive,Archive
"Archive %1","Archive %1"
"Recent Posts","Recent Posts"
"RSS Feed","RSS Feed"
"Search posts here...","Search posts here..."
"Read more >","Read more >"
Create,Create
Duplicate,Duplicate
Preview,Preview
"Extensions to Update","Extensions to Update"
"Up-to-Date Extensions","Up-to-Date Extensions"
"Available NEW Extensions","Available NEW Extensions"
Extension,Extension
Version,Version
"Change Log","Change Log"
"User Guide","User Guide"
"Manage %1","Manage %1"
"Edit %1","Edit %1"
"New %1","New %1"
"Create %1","Create %1"
"Something went wrong: %1","Something went wrong: %1"
"%1 has been saved.","%1 has been saved."
"Something went wrong while saving this %1. %2","Something went wrong while saving this %1. %2"
"%1 has been duplicated.","%1 has been duplicated."
"We can't delete %1 right now. %2","We can't delete %1 right now. %2"
"%1 have been deleted.","%1 have been deleted."
"Parameter ""Status"" missing in request data.","Parameter ""Status"" missing in request data."
"Status Field Name is not specified.","Status Field Name is not specified."
"We can't change status of %1 right now. %2","We can't change status of %1 right now. %2"
"%1 status have been changed.","%1 status have been changed."
"WYSIWYG Editor","WYSIWYG Editor"
"Gift Card","Gift Card"
"GiftCard Information","GiftCard Information"
"Order Information","Order Information"
"Edit Gift Card","Edit Gift Card"
Id,Id
Code,Code
Balance,Balance
"Scheduled Sent Time","Scheduled Sent Time"
"Expiry Date","Expiry Date"
"Created Date","Created Date"
Product,Product
"Recipient Information","Recipient Information"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
Headline,Headline
Message,Message
"View Design","View Design"
"View Design with pdf format","View Design with pdf format"
"View Gift card pdf","View Gift card pdf"
"Created At","Created At"
Amount,Amount
"Save Template","Save Template"
"Delete Template","Delete Template"
"Edit template '%1'","Edit template '%1'"
"New Templates","New Templates"
"Background Image Uploads","Background Image Uploads"
"General Configuration","General Configuration"
"Template Name","Template Name"
"Design Style","Design Style"
"Main Image Coordinates","Main Image Coordinates"
"Message Box Coordinates","Message Box Coordinates"
"Barcode Coordinates","Barcode Coordinates"
"Title Coordinates","Title Coordinates"
"""From"" Coordinates","""From"" Coordinates"
"""To"" Coordinates","""To"" Coordinates"
"Gift Key Coordinates","Gift Key Coordinates"
"""Value"" String Coordinates","""Value"" String Coordinates"
"Value Number Coordinates","Value Number Coordinates"
"Expiry Date Coordinates","Expiry Date Coordinates"
"Note Coordinates","Note Coordinates"
"Style Color","Style Color"
"Text Color","Text Color"
Note,Note
"Main Image Uploads","Main Image Uploads"
"Gift Card Template Configuration","Gift Card Template Configuration"
GiftCard,GiftCard
"This giftcard no longer exists.","This giftcard no longer exists."
"New Gift Card","New Gift Card"
Unavailable,Unavailable
Available,Available
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"You have saved the gift card successfully.","You have saved the gift card successfully."
"Something went wrong while saving this gift card.","Something went wrong while saving this gift card."
Template,Template
"There is error occurred during uploading images. Please refer to log file for more information","There is error occurred during uploading images. Please refer to log file for more information"
"You deleted the template.","You deleted the template."
"We can't delete this rate because of an incorrect template ID.","We can't delete this rate because of an incorrect template ID."
"Something went wrong deleting this template.","Something went wrong deleting this template."
"This template no longer exists.","This template no longer exists."
"Edit Template","Edit Template"
"New Template","New Template"
"Gift Card Template Manager","Gift Card Template Manager"
"A total of %1 record(s) have been changed status.","A total of %1 record(s) have been changed status."
"Unable to save template.","Unable to save template."
"Something went wrong while previewing template.","Something went wrong while previewing template."
"The template has been saved.","The template has been saved."
"Something went wrong while saving template.","Something went wrong while saving template."
"The gift card code is not exist","The gift card code is not exist"
"you can apply one gift card only for a cart","you can apply one gift card only for a cart"
"The gift card code is already applied for this cart","The gift card code is already applied for this cart"
